"project_id","project_name","one_liner","sector","source_agent","team_overview","financing_overview","business_progress","industry_position","ai_score","ai_score_reason","evidence_urls","latest_info_written_at","info_version","info_hash","created_at","updated_at"
"proj_001","SentinelFlow AI","面向企业的 AI agent 行为审计与权限控制平台","AI Security","p4-ai-security","创始团队来自云安全和大模型平台，CEO 曾负责企业 IAM 产品","Pre-seed，约 150 万美元，天使轮","已有 4 家中型 SaaS 公司试点，主要用于 agent 操作日志审计","处在 AI agent 安全治理早期赛道，切入点偏权限和审计","84","方向贴合 AI 安全，团队背景强，已有试点，但商业化规模仍早","[""https://example.com/sentinelflow""]","2026-05-07T10:00:00Z","1","demo_hash_001","2026-05-07T10:00:00Z","2026-05-07T10:00:00Z"
"proj_002","OpsMate","用 AI 员工自动处理客服、工单和内部运营流程","AI Employee","p7-ai-employee","创始人曾在 BPO 和客服 SaaS 公司担任产品负责人","Seed，300 万美元，区域基金领投","接入 15 家电商客户，月处理约 8 万条工单","AI 客服和运营自动化拥挤，但垂直电商场景有落地","81","有真实客户和处理量，团队懂场景，但同质化竞争明显","[""https://example.com/opsmate""]","2026-05-07T10:05:00Z","1","demo_hash_002","2026-05-07T10:05:00Z","2026-05-07T10:05:00Z"
"proj_003","ForgeDesk","面向中小企业的 AI 销售助理和 CRM 自动更新工具","AI Employee","p7-ai-employee","团队来自 CRM 厂商和销售自动化公司，技术团队较小","未融资，创始人自筹","有 30 个免费试用团队，付费转化数据尚未披露","CRM 自动化方向竞争激烈，需要验证差异化","67","需求明确但壁垒较弱，建议观察付费转化","[""https://example.com/forgedesk""]","2026-05-07T10:10:00Z","1","demo_hash_003","2026-05-07T10:10:00Z","2026-05-07T10:10:00Z"
"proj_004","ModelTrace","大模型输出溯源、评测和合规报告生成平台","AI Security","p4-ai-security","创始团队有 MLOps 和金融合规背景","Seed，500 万美元，产业资本参与","与 2 家金融机构做 PoC，关注模型审计和报告留痕","模型治理需求增长，但销售周期较长","79","合规需求真实，金融 PoC 有价值，但需验证采购落地","[""https://example.com/modeltrace""]","2026-05-07T10:15:00Z","1","demo_hash_004","2026-05-07T10:15:00Z","2026-05-07T10:15:00Z"
"proj_005","TrendPulse AI","面向消费品牌的行业趋势监测和新品机会发现工具","Industry Trend","p6-industry-trend","团队来自消费品咨询和数据分析公司","Pre-seed，80 万美元","服务 6 个消费品牌，按月订阅收费","趋势洞察工具常见，但 AI 自动生成选题和竞品分析有一定效率价值","72","商业化较早，客户画像明确，技术壁垒一般","[""https://example.com/trendpulse""]","2026-05-07T10:20:00Z","1","demo_hash_005","2026-05-07T10:20:00Z","2026-05-07T10:20:00Z"
"proj_006","AgentPayKit","为 AI agent 提供小额支付、预算控制和交易审计 API","Agent Payment","p8-generic-ai","创始人有支付网关和钱包基础设施经验","Seed，400 万美元","与 3 个 agent 平台集成测试，尚未开放公测","Agent 支付是前沿方向，基础设施时点可能偏早","78","方向有想象力，团队匹配，但真实需求和监管路径待验证","[""https://example.com/agentpaykit""]","2026-05-07T10:25:00Z","1","demo_hash_006","2026-05-07T10:25:00Z","2026-05-07T10:25:00Z"
"proj_007","SecurePrompt","企业级 prompt 注入检测和红队测试平台","AI Security","p4-ai-security","CTO 曾做应用安全扫描，研究员背景较强","未披露，疑似天使轮","发布开源测试集，GitHub 获得早期关注","Prompt security 热度高，但付费预算仍在形成","76","技术信号不错，开源传播早期有效，但商业闭环需要验证","[""https://example.com/secureprompt""]","2026-05-07T10:30:00Z","1","demo_hash_007","2026-05-07T10:30:00Z","2026-05-07T10:30:00Z"
"proj_008","HirePilot","AI 招聘助理，自动筛简历、约面和生成候选人摘要","AI Employee","p7-ai-employee","创始团队来自 HR SaaS 和猎头行业","Seed，250 万美元","20 家中小企业试用，部分按席位付费","HR AI 工具竞争多，垂直工作流完整度是关键","70","场景清楚但差异化一般，需要关注留存和合规","[""https://example.com/hirepilot""]","2026-05-07T10:35:00Z","1","demo_hash_008","2026-05-07T10:35:00Z","2026-05-07T10:35:00Z"
"proj_009","InfraLens","AI 基础设施成本优化和 GPU 使用预测平台","AI Infrastructure","p8-generic-ai","团队来自云厂商计费和 GPU 调度团队","Seed，600 万美元","接入 5 家 AI 应用公司，平均节省 18% 推理成本","成本优化需求强，若能绑定推理工作流有机会","83","痛点明确，ROI 容易量化，团队经验匹配","[""https://example.com/infralens""]","2026-05-07T10:40:00Z","1","demo_hash_009","2026-05-07T10:40:00Z","2026-05-07T10:40:00Z"
"proj_010","LabAgent","面向生命科学实验室的 AI 实验记录和自动报告工具","Vertical AI","p8-generic-ai","创始团队有生物实验室和 LIMS 系统经验","Pre-seed，120 万美元","与 3 个实验室试点，减少实验记录整理时间","垂直场景具体，市场进入需要强行业资源","74","场景刚需，团队懂行业，但市场规模和销售效率待验证","[""https://example.com/labagent""]","2026-05-07T10:45:00Z","1","demo_hash_010","2026-05-07T10:45:00Z","2026-05-07T10:45:00Z"
